Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
1092,1113,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471407251.m3u8.mp4,21238
1092,1113,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471408754.m3u8.mp4,19750
1093,1114,62462517747094100,62462517489711400,53458398139660300,62462517489711477-53458398139660380r1471406484.m3u8.mp4,8647
1094,1115,62463265549558300,62463264784660300,31045571313558700,62463264784660315-31045571313558736r1471406840.m3u8.mp4,7472
1095,1116,62463311466701400,62463311280617300,53272535766146600,62463311280617308-53272535766146639r1471406862.m3u8.mp4,33253
1096,1117,62465192031134300,62465175984282500,52553573812156600,62465175984282569-52553573812156601r1471407751.m3u8.mp4,120026
1097,1118,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471407817.m3u8.mp4,2461
1097,1118,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408025.m3u8.mp4,6378
1097,1118,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408584.m3u8.mp4,779
1097,1118,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408653.m3u8.mp4,2603
1097,1118,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408846.m3u8.mp4,2971
1098,1119,62465781236474500,62465781073464200,53272535766146600,62465781073464200-53272535766146639r1471408040.m3u8.mp4,61919
1099,1120,62465882182886000,62465869353066400,42714514719771000,62465869353066407-42714514719771059r1471408082.m3u8.mp4,110149
1099,1120,62465882182886000,62465869353066400,42714514719771000,62465869353066407-42714514719771059r1471415457.m3u8.mp4,90121
1100,1122,62470116206945000,62470115672728400,47682196185552100,62470115672728473-47682196185552116r1471410107.m3u8.mp4,164647
1101,1123,62470777160049400,62470772756587900,54874951441714700,62470772756587969-54874951441714704r1471410420.m3u8.mp4,13131
1102,1124,62472390316630800,62472385065928600,53387635432892200,62472385065928687-53387635432892295r1471411189.m3u8.mp4,3716
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471411411.m3u8.mp4,4182
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471411714.m3u8.mp4,721
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471411779.m3u8.mp4,61246
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471416025.m3u8.mp4,8488
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471416618.m3u8.mp4,366
1103,1125,62472834101257000,62472820751354800,53568543410625400,62472820751354806-53568543410625422r1471416665.m3u8.mp4,18797
1104,1126,62473696496292400,62473696144530400,53387635432892200,62473696144530419-53387635432892295r1471411814.m3u8.mp4,53676
1104,1126,62473696496292400,62473696144530400,53387635432892200,62473696144530419-53387635432892295r1471414067.m3u8.mp4,3787
1104,1126,62473696496292400,62473696144530400,53387635432892200,62473696144530419-53387635432892295r1471414252.m3u8.mp4,67405
1105,1127,62475745531241200,62475732556716500,52333209270099800,62475732556716545-52333209270099838r1471412785.m3u8.mp4,91027
1106,1128,62482324007654000,62482316800301500,54865278076466100,62482316800301598-54865278076466138r1471415925.m3u8.mp4,12521
1107,1129,62482348089250400,62482326677888500,55579094410080600,62482326677888520-55579094410080624r1471415929.m3u8.mp4,165
1107,1129,62482348089250400,62482326677888500,55579094410080600,62482326677888520-55579094410080624r1471416033.m3u8.mp4,284
1108,1130,62482374202983100,62482373461157300,31045571313558700,62482373461157372-31045571313558736r1471415952.m3u8.mp4,4139
1109,1131,62482402218836700,62482397880401900,54874951441714700,62482397880401943-54874951441714704r1471415963.m3u8.mp4,49359
1110,1132,62482720222581400,62482716284691400,18687908944437300,62482716284691425-18687908944437327r1471416115.m3u8.mp4,12144
1111,1133,62483006259438400,62483005880421300,31045571313558700,62483005880421355-31045571313558736r1471416253.m3u8.mp4,81785
1112,1134,62484541037061000,62484535620681700,35552146497689300,62484535620681762-35552146497689326r1471416983.m3u8.mp4,31128
1113,1135,62488649764672200,62488649490506200,55115402937644700,62488649490506282-55115402937644796r1471418944.m3u8.mp4,353
1114,1136,62490166154462000,62490158689173500,52879577084600900,62490158689173573-52879577084600973r1471419664.m3u8.mp4,54404
1115,1137,62490266519962400,62490265906061800,31045571313558700,62490265906061873-31045571313558736r1471419715.m3u8.mp4,122121
1116,1138,62491029501612800,62491029024022000,51613980927465700,62491029024022073-51613980927465734r1471420079.m3u8.mp4,2324
1117,1139,62491853053199100,62491852839859700,51963866757732800,62491852839859734-51963866757732887r1471420472.m3u8.mp4,6203
1118,1140,62492237509403600,62492233619753500,28385471671136300,62492233619753505-28385471671136325r1471420653.m3u8.mp4,66142
1119,1141,62493889207440200,62493883927370800,55083279732193100,62493883927370808-55083279732193160r1471421440.m3u8.mp4,7824
1120,1142,62496623327421400,62496622858214400,47682196185552100,62496622858214472-47682196185552116r1471422746.m3u8.mp4,82484
1121,1143,62497738263597900,62497731129647700,37171206849282200,62497731129647721-37171206849282286r1471423275.m3u8.mp4,712
1122,1144,62498205362262900,62498187732071900,32750136595503500,62498187732071996-32750136595503502r1471423492.m3u8.mp4,35325
1123,1145,62498276575253400,62498276200422000,51663525071820900,62498276200422015-51663525071820946r1471423535.m3u8.mp4,7746
1124,1146,62498345206649700,62498328232870000,48577107659329700,62498328232870010-48577107659329705r1471423559.m3u8.mp4,24578
1125,1147,62500383235736400,62500377372670000,54333189488918700,62500377372670072-54333189488918772r1471424537.m3u8.mp4,1873
1125,1147,62500383235736400,62500377372670000,54333189488918700,62500377372670072-54333189488918772r1471424724.m3u8.mp4,2105
1125,1147,62500383235736400,62500377372670000,54333189488918700,62500377372670072-54333189488918772r1471424940.m3u8.mp4,2451
1125,1147,62500383235736400,62500377372670000,54333189488918700,62500377372670072-54333189488918772r1471425233.m3u8.mp4,4893
