group 00386, 10 videos, 83474 frames, use time 8.766862 seconds
group 00387, 8 videos, 133978 frames, use time 13.632733 seconds
group 00388, 1 videos, 270 frames, use time 0.122592 seconds
group 00389, 1 videos, 2637 frames, use time 0.395399 seconds
group 00390, 2 videos, 2996 frames, use time 0.675196 seconds
group 00391, 2 videos, 23756 frames, use time 5.873269 seconds
group 00392, 12 videos, 27190 frames, use time 7.805310 seconds
group 00393, 2 videos, 27217 frames, use time 6.816174 seconds
group 00394, 5 videos, 33418 frames, use time 6.223181 seconds
group 00395, 1 videos, 2953 frames, use time 0.178833 seconds
group 00396, 2 videos, 36942 frames, use time 9.382497 seconds
group 00397, 1 videos, 272655 frames, use time 50.762436 seconds
group 00398, 1 videos, 6083 frames, use time 0.635495 seconds
group 00399, 1 videos, 309213 frames, use time 39.361129 seconds
group 00400, 1 videos, 129856 frames, use time 15.559190 seconds
group 00401, 1 videos, 63734 frames, use time 6.501416 seconds
group 00402, 1 videos, 87367 frames, use time 11.814748 seconds
group 00403, 1 videos, 93186 frames, use time 10.519661 seconds
group 00404, 1 videos, 107228 frames, use time 23.670354 seconds
group 00405, 1 videos, 81947 frames, use time 14.143444 seconds
group 00406, 2 videos, 26539 frames, use time 10.103293 seconds
group 00407, 2 videos, 248624 frames, use time 37.721690 seconds
group 00408, 3 videos, 1543 frames, use time 0.238313 seconds
group 00409, 3 videos, 22471 frames, use time 6.223218 seconds
group 00410, 3 videos, 17880 frames, use time 3.680314 seconds
group 00411, 1 videos, 44917 frames, use time 4.398932 seconds
group 00412, 3 videos, 2403 frames, use time 0.400581 seconds
group 00413, 1 videos, 4977 frames, use time 0.564350 seconds
group 00414, 1 videos, 112016 frames, use time 17.764382 seconds
group 00415, 1 videos, 18068 frames, use time 1.773793 seconds
group 00416, 1 videos, 8925 frames, use time 0.914207 seconds
group 00417, 2 videos, 48038 frames, use time 5.134965 seconds
group 00418, 1 videos, 2772 frames, use time 0.253554 seconds
group 00419, 1 videos, 11566 frames, use time 1.148527 seconds
group 00420, 2 videos, 87120 frames, use time 9.474333 seconds
group 00421, 3 videos, 42783 frames, use time 9.993615 seconds
group 00422, 4 videos, 21720 frames, use time 2.797467 seconds
group 00423, 1 videos, 3252 frames, use time 1.391036 seconds
group 00424, 1 videos, 421 frames, use time 0.062425 seconds
group 00425, 1 videos, 7170 frames, use time 0.725138 seconds
group 00426, 3 videos, 16240 frames, use time 1.829038 seconds
group 00427, 2 videos, 2174 frames, use time 0.338476 seconds
group 00428, 7 videos, 85965 frames, use time 8.917072 seconds
group 00429, 2 videos, 102134 frames, use time 12.928699 seconds
group 00430, 2 videos, 1873 frames, use time 0.422873 seconds
group 00431, 1 videos, 94312 frames, use time 9.542683 seconds
group 00432, 2 videos, 17563 frames, use time 2.877806 seconds
group 00433, 1 videos, 85070 frames, use time 9.543048 seconds
group 00434, 1 videos, 15333 frames, use time 5.820250 seconds
group 00435, 1 videos, 52302 frames, use time 5.422023 seconds
group 00436, 1 videos, 69541 frames, use time 7.629459 seconds
group 00437, 4 videos, 162080 frames, use time 26.068144 seconds
group 00438, 1 videos, 16906 frames, use time 2.934492 seconds
