Group_ID,Video_Index,Room,Session,Performer,Video_Name, Frame_Num
2465,3,64141429438959900,64141425758980700,42714514719771000,64141425758980751-42714514719771059r1472213146.m3u8.mp4,153
2466,1,64141629345780000,64141629184821900,51674492214186600,64141629184821907-51674492214186633r1472207146.m3u8.mp4,4016
2467,1,64143157825655100,64143141329980000,52172083005756100,64143141329980059-52172083005756174r1472207867.m3u8.mp4,32492
2468,1,64143610810487100,64143601201845400,54704420952224300,64143601201845471-54704420952224311r1472208094.m3u8.mp4,19108
2469,1,64143660447977800,64143655776042200,52333209270099800,64143655776042279-52333209270099838r1472208113.m3u8.mp4,214394
2470,1,64144368597492000,64144367994030200,53387635432892200,64144367994030236-53387635432892295r1472208452.m3u8.mp4,40174
2471,1,64145112377610600,64145108225775300,55260010820676600,64145108225775317-55260010820676628r1472208805.m3u8.mp4,62491
2471,2,64145112377610600,64145108225775300,55260010820676600,64145108225775317-55260010820676628r1472217380.m3u8.mp4,41410
2472,1,64145654044713300,64145649578297500,49443408695011300,64145649578297523-49443408695011370r1472209063.m3u8.mp4,1759
2473,1,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472209407.m3u8.mp4,38956
2473,2,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472212020.m3u8.mp4,433
2473,3,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472212067.m3u8.mp4,46007
2473,4,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472215195.m3u8.mp4,8746
2473,5,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472215804.m3u8.mp4,8071
2473,6,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472216420.m3u8.mp4,5899
2473,7,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472216850.m3u8.mp4,6352
2473,8,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472217530.m3u8.mp4,800
2473,9,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472217925.m3u8.mp4,339
2473,10,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218081.m3u8.mp4,1591
2473,11,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218229.m3u8.mp4,778
2473,12,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218320.m3u8.mp4,437
2473,13,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218383.m3u8.mp4,251
2473,14,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218429.m3u8.mp4,4656
2473,15,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218763.m3u8.mp4,2791
2473,16,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472218966.m3u8.mp4,5317
2473,17,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472219342.m3u8.mp4,1197
2473,18,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472219452.m3u8.mp4,4479
2473,19,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472219768.m3u8.mp4,1917
2473,20,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472219944.m3u8.mp4,430
2473,21,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472220006.m3u8.mp4,253
2473,22,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472220044.m3u8.mp4,703
2473,23,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472220219.m3u8.mp4,835
2473,24,64146375265763700,64146369272626400,54704420952224300,64146369272626487-54704420952224311r1472220466.m3u8.mp4,12791
