Room,Stream,Performer,Link
61340980176384900,61340976253248100,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61340976253248150/hls/61340976253248150-53568543410625422r1470873652.m3u8
61341386969347000,61341370014504100,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61341370014504121/hls/61341370014504121-53604774286737927r1470871879.m3u8
61347060268819700,61347044433860200,41365734051282700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61347044433860248/hls/61347044433860248-41365734051282735r1470874594.m3u8
61347060268819700,61347044433860200,41365734051282700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61347044433860248/hls/61347044433860248-41365734051282735r1470874739.m3u8
61347060268819700,61347044433860200,41365734051282700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61347044433860248/hls/61347044433860248-41365734051282735r1470874968.m3u8
61347079998825700,61347079458397300,52159828992205700,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61347079458397352/hls/61347079458397352-52159828992205772r1470874601.m3u8
61348651822642100,61348650785184300,53782875536890400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61348650785184397/hls/61348650785184397-53782875536890474r1470875351.m3u8
61350950674523400,61350950358488200,53782875536890400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61350950358488263/hls/61350950358488263-53782875536890474r1470876447.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470876486.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470876928.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470877528.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470879615.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470880156.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470882609.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470884127.m3u8
61351057073530100,61351032438923900,53604774286737900,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351032438923942/hls/61351032438923942-53604774286737927r1470884221.m3u8
61351351666763000,61351347653449300,53568543410625400,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351347653449372/hls/61351347653449372-53568543410625422r1470876636.m3u8
61351411980854500,61351383992899200,50723234246563800,http://qiubailive.ks3-cn-beijing.ksyun.com/record/live/61351383992899229/hls/61351383992899229-50723234246563853r1470876654.m3u8
