Group_ID,Room,Session,Performer,Video_Name,Video_Index
46,61367800000000000,61367800000000000,52868300000000000,61367767105811129-52868343920602753r1470887291.m3u8.mp4,4
46,61367800000000000,61367800000000000,52868300000000000,61367767105811129-52868343920602753r1470887539.m3u8.mp4,5
47,61369500000000000,61369500000000000,53458400000000000,61369533958468877-53458398139660380r1470885308.m3u8.mp4,1
48,61370000000000000,61370000000000000,31045600000000000,61369993960365314-31045571313558736r1470885528.m3u8.mp4,1
49,61370400000000000,61370400000000000,35552100000000000,61370353101838624-35552146497689326r1470885699.m3u8.mp4,1
50,61370800000000000,61370800000000000,36390600000000000,61370837762061000-36390648764417356r1470885930.m3u8.mp4,1
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470886724.m3u8.mp4,1
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470886731.m3u8.mp4,2
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470886738.m3u8.mp4,3
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470886964.m3u8.mp4,4
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470888358.m3u8.mp4,5
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470888774.m3u8.mp4,6
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470891193.m3u8.mp4,7
51,61372500000000000,61372500000000000,53568500000000000,61372502097531779-53568543410625422r1470891198.m3u8.mp4,8
52,61372600000000000,61372600000000000,53387600000000000,61372622044144925-53387635432892295r1470886781.m3u8.mp4,1
53,61372800000000000,61372800000000000,32951600000000000,61372811637166984-32951597816271694r1470886871.m3u8.mp4,1
54,61372800000000000,61372800000000000,48337300000000000,61372794656535834-48337346409533126r1470886867.m3u8.mp4,1
54,61372800000000000,61372800000000000,48337300000000000,61372794656535834-48337346409533126r1470891298.m3u8.mp4,2
55,61373000000000000,61373000000000000,50163200000000000,61373013701964501-50163229720061981r1470886968.m3u8.mp4,1
55,61373000000000000,61373000000000000,50163200000000000,61373013701964501-50163229720061981r1470889865.m3u8.mp4,2
56,61373400000000000,61373400000000000,53617600000000000,61373356733110033-53617575560495115r1470887140.m3u8.mp4,1
57,61373700000000000,61373700000000000,55294900000000000,61373650644775640-55294940529303342r1470887271.m3u8.mp4,1
