Group_ID,Video_Index,Room,Session,Performer,Video_Name
1215,2,62444835524022700,62444831674211100,55437783216430900,62444831674211154-55437783216430928r1471398298.m3u8.mp4
1216,1,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471398333.m3u8.mp4
1216,2,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471398473.m3u8.mp4
1216,3,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471399592.m3u8.mp4
1216,4,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471399653.m3u8.mp4
1216,5,62445428078510500,62445423897365200,55260010820676600,62445423897365286-55260010820676628r1471400562.m3u8.mp4
1217,1,62445547607785900,62445530344594200,50723234246563800,62445530344594261-50723234246563853r1471398383.m3u8.mp4
1218,1,62446419041554900,62446418507342600,47682196185552100,62446418507342613-47682196185552116r1471398807.m3u8.mp4
1219,1,62446423695135200,62446423337081600,51613980927465700,62446423337081689-51613980927465734r1471398809.m3u8.mp4
1220,1,62450640585458100,62450639780715300,31045571313558700,62450639780715374-31045571313558736r1471400820.m3u8.mp4
1221,1,62451931760001500,62451931582314200,53272535766146600,62451931582314281-53272535766146639r1471401436.m3u8.mp4
1222,1,62452879265866200,62452879016867600,53782875536890400,62452879016867627-53782875536890474r1471401888.m3u8.mp4
1223,1,62453261767516600,62453257376645400,54874951441714700,62453257376645478-54874951441714704r1471402068.m3u8.mp4
1224,1,62453743441383900,62453738129858300,54359981935315800,62453738129858399-54359981935315870r1471402297.m3u8.mp4
1225,1,62456279365816800,62456263755179300,54874951441714700,62456263755179360-54874951441714704r1471403502.m3u8.mp4
1226,1,62456402141483500,62456398054696200,54874951441714700,62456398054696290-54874951441714704r1471403566.m3u8.mp4
1227,1,62456871643480600,62456868265543500,52868343920602700,62456868265543532-52868343920602753r1471403790.m3u8.mp4
1228,1,62457195928199600,62457191688320800,54874951441714700,62457191688320827-54874951441714704r1471403944.m3u8.mp4
1228,2,62457195928199600,62457191688320800,54874951441714700,62457191688320827-54874951441714704r1471405654.m3u8.mp4
1229,1,62458253094130200,62458251867865400,31045571313558700,62458251867865465-31045571313558736r1471404450.m3u8.mp4
1230,1,62461900639150600,62461882646144300,55579094410080600,62461882646144375-55579094410080624r1471406181.m3u8.mp4
1230,2,62461900639150600,62461882646144300,55579094410080600,62461882646144375-55579094410080624r1471406220.m3u8.mp4
1230,3,62461900639150600,62461882646144300,55579094410080600,62461882646144375-55579094410080624r1471406253.m3u8.mp4
1231,1,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471406250.m3u8.mp4
1231,2,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471407251.m3u8.mp4
1231,3,62462013193298500,62461998092264200,53604774286737900,62461998092264290-53604774286737927r1471408754.m3u8.mp4
1232,1,62462517747094100,62462517489711400,53458398139660300,62462517489711477-53458398139660380r1471406484.m3u8.mp4
1233,1,62463265549558300,62463264784660300,31045571313558700,62463264784660315-31045571313558736r1471406840.m3u8.mp4
1234,1,62463311466701400,62463311280617300,53272535766146600,62463311280617308-53272535766146639r1471406862.m3u8.mp4
1235,1,62465192031134300,62465175984282500,52553573812156600,62465175984282569-52553573812156601r1471407751.m3u8.mp4
1236,1,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471407817.m3u8.mp4
1236,2,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408025.m3u8.mp4
1236,3,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408584.m3u8.mp4
1236,4,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408653.m3u8.mp4
1236,5,62465319345037900,62465313672804200,54359981935315800,62465313672804213-54359981935315870r1471408846.m3u8.mp4
1237,1,62465781236474500,62465781073464200,53272535766146600,62465781073464200-53272535766146639r1471408040.m3u8.mp4
